GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
1shmRxrh90tPBCbz8x_OUi,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,319.8150506315614,2995.8944156923626,4201.184352997279,100.0,360.0,8,1,0.1548668512139931
2IrdoSjrP3tQWbDwy0cLW$,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,319.8150506315614,2995.8944156923626,265.8156463678117,100.0,360.0,8,1,0.1542593227156756
1QUR2DPcH1URpso5xyOL8$,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,265.8156463678117,2995.8944156923626,4147.184949312434,100.0,360.0,8,1,0.1545079926038802
3vt1Jl5fnE8OTp9uJgAaRw,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4201.184352997279,2995.8944156923626,319.8150506315614,100.0,360.0,8,1,0.1550338849794624
0$qyoLnjP3QxCbOK5ltP3G,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1129.814866312187,11995.889706018306,3391.1845834680403,100.0,360.0,8,1,0.1807973623443102
38vVEAP_T0vhiMA_5Ydog1,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1075.8158976586944,11995.889706018306,1129.814866312187,100.0,360.0,8,1,0.1808915319277137
2dQB9ev$57nOJl5mfWjon7,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3877.184950807142,5995.894415957945,535.8156450746343,100.0,360.0,8,1,0.1613497654856642
3nAK9byLz1bBN8hPJ08NpT,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,535.8156450746343,5995.894415957945,3877.184950807142,100.0,360.0,8,1,0.159237559214782
0LtHGoB_93j961R1wzc_18,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,589.8150491204786,5995.894415957945,3931.18435443749,100.0,360.0,8,1,0.1593029559003169
2Qjvr5p05CaA$ba7$rx_WN,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1075.8158976586944,11995.889706018306,3337.180074406508,100.0,360.0,8,1,0.1810682244191882
2wCMFNHbH5oRJ5x8r0jbWh,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3337.180074406508,11995.889706018306,3391.1845834680403,100.0,360.0,8,1,0.1789069844549094
1aIruUo1TDo8TLeGJrStcN,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3391.1845834680403,11995.889706018306,3337.180074406508,100.0,360.0,8,1,0.1803037852878256
2yMFX9kd92h9jXc_k63M7h,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,3931.18435443749,5995.894415957945,3877.184950807142,100.0,360.0,8,1,0.1617304013055768
2ysP5XLNP3aP8YFuOWq$tg,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,265.8156463678117,2995.8944156923626,319.8150506315614,100.0,360.0,8,1,0.1540234527159895
3QgTxd8WP9jBtNb0l0xu4F,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4201.184352997279,2995.8944156923626,4147.184949312434,100.0,360.0,8,1,0.1581448583358131
07SqNiwrz0z9nuA2wFfSdT,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,535.8156450746343,5995.894415957945,589.8150491204786,100.0,360.0,8,1,0.1624239690964331
2mrtUMC3z8ORc3PaI5uBiP,5.12000024414e-05,0.0,0.0,15399.394469769795,5.12000024414e-05,38315000.0,15000.0,0.0,0.4,3391.66054589872,11988.154906916703,3250.851980395419,80.0,100.0,8,1,0.1651396204111139
0c0IYnW9j4zR4qxPHxXhh7,5.12000024414e-05,0.0,0.0,15399.394469769795,5.12000024414e-05,38315000.0,15000.0,0.0,0.4,539.9482580261063,6037.75597351393,680.6118642696989,80.0,100.0,8,1,0.1423940523473704
0nYhsCHd1CdvN9nmayZeGI,5.12000024414e-05,0.0,0.0,15399.394469769795,5.12000024414e-05,38315000.0,15000.0,0.0,0.4,4330.873875209795,-11.850425985304328,4471.534899657103,80.0,100.0,8,1,0.1015378143284926
